distance_km,time_left_minutes,will_be_late
22.1,15,1
10.0,26,0
12.8,6,1
9.5,34,0
4.5,30,0
25.1,11,1
26.7,21,1
2.6,50,0
4.4,60,0
17.8,16,1
15.8,17,1
2.7,49,0
24.4,11,1
13.4,24,1
14.0,9,1
13.1,25,1
11.3,30,0
15.5,6,1
18.6,12,1
23.8,20,1
28.9,9,1
26.2,22,1
16.6,20,1
13.0,31,0
14.3,19,1
13.1,42,0
4.0,56,0
1.8,55,0
7.4,25,0
18.7,19,1
1.1,60,0
12.0,51,0
6.6,59,0
9.6,57,0
12.5,14,1
3.4,30,0
11.1,14,1
11.6,40,0
2.1,43,0
17.3,17,1
4.1,29,0
26.1,22,1
5.7,50,0
10.8,15,1
5.3,48,0
18.0,7,1
18.6,10,1
13.1,10,1
24.7,20,1
12.3,12,1
5.2,52,0
16.8,16,1
27.5,6,1
25.2,20,1
6.6,29,0
10.7,16,1
10.9,52,0
7.4,46,0
14.3,36,0
21.0,15,1
4.5,55,0
12.1,52,0
13.5,30,0
4.7,31,0
7.9,27,0
29.6,7,1
27.1,19,1
18.1,15,1
3.3,49,0
10.2,58,0
12.3,37,0
12.9,59,0
9.5,35,0
9.5,47,0
21.9,21,1
25.5,23,1
4.3,50,0
6.9,42,0
12.3,34,0
4.2,37,0
9.6,58,0
21.9,5,1
3.3,53,0
11.7,49,0
10.5,36,0
21.6,6,1
24.5,7,1
19.9,20,1
3.3,56,0
9.0,49,0
22.3,13,1
15.5,8,1
5.0,53,0
26.0,10,1
23.0,8,1
29.9,16,1
2.2,52,0
22.6,13,1
3.3,47,0
10.5,22,1
11.5,36,0
4.4,40,0
9.2,25,0
22.1,19,1
16.9,25,1
23.0,12,1
4.1,34,0
6.3,54,0
13.5,19,1
9.1,44,0
6.3,45,0
21.4,19,1
20.2,8,1
13.2,44,0
26.3,21,1
20.1,18,1
8.5,33,0
23.0,23,1
1.2,51,0
12.5,16,1
19.7,14,1
10.7,11,1
13.6,27,0
9.0,55,0
21.1,8,1
16.1,20,1
12.6,7,1
15.7,19,1
5.7,56,0
13.2,53,0
19.0,15,1
10.1,9,1
13.7,34,0
11.3,7,1
12.9,36,0
10.1,46,0
21.7,25,1
25.9,19,1
10.3,29,0
12.5,31,0
11.5,25,1
20.5,16,1
26.3,23,1
17.3,17,1
20.7,8,1
19.0,5,1
2.8,43,0
20.9,25,1
10.8,29,0
2.7,40,0
22.8,10,1
8.1,42,0
27.5,24,1
13.2,27,0
20.1,18,1
4.9,58,0
4.4,51,0
9.3,53,0
24.1,14,1
4.8,38,0
5.1,33,0
21.5,18,1
2.8,32,0
21.8,5,1
17.2,17,1
12.1,13,1
21.5,21,1
2.1,36,0
6.8,56,0
1.3,40,0
10.3,56,0
21.7,10,1
9.0,43,0
12.4,13,1
17.3,15,1
9.5,31,0
9.9,56,0
24.7,15,1
13.7,45,0
18.3,11,1
20.0,16,1
2.2,52,0
18.1,20,1
11.4,40,0
7.5,28,0
21.0,14,1
11.5,25,1
21.3,17,1
21.2,8,1
13.1,25,0
18.3,19,1
9.4,60,0
1.8,46,0
14.0,40,0
20.1,22,1
3.7,55,0
14.9,17,1
2.1,27,0
15.6,24,1
11.8,12,1
17.7,23,1
9.8,56,0
16.6,9,1
18.4,8,1
25.3,14,1
11.3,20,1
2.7,51,0
2.0,41,0
13.8,36,0
17.3,10,1
12.6,8,1
23.4,22,1
6.3,38,0
29.1,20,1
9.8,43,0
7.0,27,0
12.8,42,0
10.4,39,0
9.3,26,0
7.1,31,0
4.9,51,0
16.9,21,1
19.9,7,1
22.3,21,1
13.5,16,1
11.6,37,0
13.8,19,1
4.7,31,0
30.0,17,1
7.7,50,0
11.8,30,0
22.7,16,1
27.2,17,1
5.3,28,0
3.9,45,0
16.8,10,1
12.2,39,0
12.1,15,1
1.3,60,0
11.3,17,1
1.1,28,0
12.8,28,0
2.3,39,0
7.8,40,0
10.5,57,0
3.9,42,0
12.6,48,0
11.4,21,1
20.5,15,1
4.1,37,0
12.4,59,0
6.3,54,0
14.2,44,0
12.1,43,0
22.0,17,1
10.2,60,0
7.3,40,0
17.4,13,1
1.5,52,0
21.4,10,1
16.3,19,1
13.6,35,0
5.4,41,0
29.9,15,1
1.4,30,0
12.6,16,1
12.6,17,1
11.6,25,1
8.8,37,0
18.1,21,1
11.9,49,0
24.4,11,1
10.5,40,0
13.1,25,0
7.0,59,0
17.0,25,1
24.9,16,1
11.2,59,0
13.3,48,0
10.2,43,0
7.1,26,0
14.1,11,1
6.9,49,0
10.7,56,0
16.7,15,1
8.0,43,0
23.9,9,1
21.5,23,1
14.7,40,0
9.1,27,0
13.8,55,0
28.6,13,1
17.4,8,1
12.9,51,0
13.5,17,1
4.1,45,0
21.2,12,1
10.6,25,1
7.2,60,0
19.2,6,1
13.5,19,1
29.7,19,1
8.2,42,0
14.1,15,1
14.5,42,0
7.3,26,0
20.2,22,1
11.5,46,0
5.9,57,0
11.1,44,0
12.6,41,0
15.7,6,1
10.6,50,0
2.0,39,0
5.9,52,0
29.0,16,1
2.0,35,0
14.8,8,1
2.4,54,0
4.2,27,0
8.7,52,0
16.6,5,1
12.2,31,0
12.6,30,0
9.2,34,0
3.1,44,0
29.0,16,1
16.3,16,1
11.3,19,1
14.6,34,0
13.5,31,0
27.8,10,1
29.3,11,1
8.8,58,0
13.4,51,0
8.1,51,0
23.9,9,1
2.3,52,0
29.4,17,1
3.6,48,0
7.0,60,0
20.7,12,1
16.9,8,1
1.2,34,0
21.0,24,1
17.5,19,1
11.9,17,1
6.7,40,0
5.4,45,0
12.3,21,1
10.9,29,0
16.9,19,1
8.2,46,0
13.3,48,0
11.8,8,1
7.3,40,0
27.7,25,1
24.9,12,1
13.0,49,0
9.8,41,0
16.4,9,1
7.5,32,0
16.8,23,1
5.1,39,0
6.7,39,0
10.5,22,1
4.1,46,0
2.9,54,0
12.9,32,0
3.2,57,0
14.5,31,0
26.6,24,1
6.1,29,0
28.6,18,1
12.9,18,1
20.3,8,1
19.8,23,1
16.3,9,1
7.1,42,0
14.8,9,1
6.1,33,0
5.7,59,0
3.8,54,0
26.0,9,1
4.9,38,0
14.9,23,1
